Order,Species Name,Trade,Highly traded,Category,Total virus richness,Non zoonotic virus richness,Zoono virus richness
PRIMATES,Macaca fascicularis,"Pet, Prod",Y,Traded,111,92,19
PRIMATES,Macaca fuscata,"Pet, Prod",Y,Traded,9,0,9
PRIMATES,Macaca leonina,"Pet, Prod",Y,Traded,13,11,2
PRIMATES,Macaca maura,"Pet, Prod",,Traded,1,0,1
PRIMATES,Macaca mulatta,"Pet, Prod",Y,Traded,605,586,19
PRIMATES,Macaca nemestrina,"Pet, Prod",Y,Traded,22,15,7
PRIMATES,Macaca nigra,"Pet, Prod",,Traded,4,2,2
Primates,Macaca nigrescens,Prod,,Traded,1,0,1
PRIMATES,Macaca ochreata,Prod,,Traded,1,0,1
PRIMATES,Macaca radiata,"Pet, Prod",Y,Traded,7,1,6
PRIMATES,Macaca silenus,"Pet, Prod",,Traded,2,1,1
PRIMATES,Macaca sinica,"Pet, Prod",,Traded,4,1,3
PRIMATES,Macaca sylvanus,"Pet, Prod",Y,Traded,6,1,5
PRIMATES,Macaca tonkeana,"Pet, Prod",,Traded,1,0,1
DIPROTODONTIA,Macropus agilis,Prod,,Traded,6,1,5
DIPROTODONTIA,Macropus parryi,"Pet, Prod",,Traded,1,0,1
PRIMATES,Mandrillus leucophaeus,"Pet, Prod",,Traded,7,4,3
PRIMATES,Mandrillus sphinx,"Pet, Prod",Y,Traded,10,4,6
PHOLIDOTA,Manis javanica,Prod,,Traded,1,0,1
PHOLIDOTA,Manis pentadactyla,Prod,Y,Traded,1,-1,2
CARNIVORA,Martes foina,Prod,,Traded,3,0,3
Carnivora,Martes martes,Prod,,Traded,3,0,3
CARNIVORA,Martes pennanti,Prod,,Traded,3,2,1
CETARTIODACTYLA,Mazama gouazoubira,Prod,,Traded,2,1,1
CHIROPTERA,Megaderma lyra,Prod,,Traded,14,13,1
CHIROPTERA,Megaderma spasma,Prod,,Traded,2,1,1
CARNIVORA,Meles meles,Prod,,Traded,3,1,2
CARNIVORA,Mellivora capensis,"Pet, Prod",Y,Traded,1,0,1
CARNIVORA,Melogale moschata,Prod,,Traded,1,0,1
Carnivora,Mephitis macroura,Prod,,Traded,1,0,1
CARNIVORA,Mephitis mephitis,Prod,,Traded,6,0,6
RODENTIA,Meriones hurrianae,Prod,,Traded,7,3,4
Primates,Mico argentatus,"Pet, Prod",Y,Traded,3,0,3
PRIMATES,Mico leucippe,"Pet, Prod",,Traded,2,0,2
PRIMATES,Microcebus berthae,Prod,,Traded,1,1,0
PRIMATES,Microcebus griseorufus,Prod,,Traded,1,1,0
PRIMATES,Microcebus murinus,"Pet, Prod",Y,Traded,1,1,0
PRIMATES,Microcebus myoxinus,Prod,,Traded,1,1,0
PRIMATES,Microcebus ravelobensis,Prod,,Traded,1,1,0
PRIMATES,Microcebus rufus,Pet,Y,Traded,1,1,0
PRIMATES,Microcebus sambiranensis,Prod,,Traded,1,1,0
CHIROPTERA,Microcebus tavaratra,Prod,,Traded,1,1,0
CHIROPTERA,Micropteropus pusillus,Prod,,Traded,62,59,3
PRIMATES,Miopithecus ogouensis,Prod,,Traded,2,2,0
PRIMATES,Miopithecus talapoin,"Pet, Prod",Y,Traded,3,2,1
PRIMATES,Mirza coquereli,"Pet, Prod",,Traded,1,1,0
CHIROPTERA,Mops midas,"Pet, Prod",,Traded,8,8,0
CARNIVORA,Mungos mungo,Prod,,Traded,2,0,2
CETARTIODACTYLA,Muntiacus muntjak,Prod,,Traded,1,0,1
Carnivora,Mustela erminea,"Pet, Prod",,Traded,7,0,7
CARNIVORA,Mustela frenata,Prod,,Traded,1,0,1
CARNIVORA,Mustela lutreola,"Pet, Prod",,Traded,2,0,2
CARNIVORA,Mustela nigripes,"Pet, Prod",,Traded,1,1,0
CARNIVORA,Mustela nivalis,Prod,,Traded,1,0,1
CARNIVORA,Mustela putorius,Prod,,Traded,1,0,1
CARNIVORA,Mustela sibirica,Prod,,Traded,2,2,0
CHIROPTERA,Myotis mystacinus,Prod,,Traded,4,2,2
CHIROPTERA,Myotis nattereri,Prod,,Traded,8,6,2
PILOSA,Myrmecophaga tridactyla,"Pet, Prod",Y,Traded,2,0,2
CARNIVORA,Nandinia binotata,"Pet, Prod",,Traded,1,1,0
CETARTIODACTYLA,Nanger granti,Prod,,Traded,4,2,2
PRIMATES,Nasalis larvatus,"Pet, Prod",,Traded,14,14,0
CARNIVORA,Nasua narica,"Pet, Prod",Y,Traded,1,0,1
CARNIVORA,Nasua nasua,"Pet, Prod",Y,Traded,1,0,1
CARNIVORA,Neofelis nebulosa,"Pet, Prod",Y,Traded,1,0,1
RODENTIA,Niviventer eha,"Pet, Prod",,Traded,6,6,0
PRIMATES,Nomascus leucogenys,Prod,,Traded,1,0,1
CARNIVORA,Nyctereutes procyonoides,Prod,,Traded,5,1,4
PRIMATES,Nycticebus bengalensis,Prod,,Traded,1,1,0
PRIMATES,Nycticebus coucang,"Pet, Prod",Y,Traded,1,1,0
PRIMATES,Nycticebus pygmaeus,Prod,,Traded,5,5,0
CHIROPTERA,Nyctimene cephalotes,Prod,,Traded,1,1,0
CETARTIODACTYLA,Odocoileus hemionus,Prod,,Traded,10,6,4
CETARTIODACTYLA,Odocoileus virginianus,"Pet, Prod",,Traded,15,7,8
CETARTIODACTYLA,Okapia johnstoni,Prod,,Traded,1,0,1
CETARTIODACTYLA,Oreamnos americanus,Prod,,Traded,4,4,0
CETARTIODACTYLA,Oryx gazella,Prod,,Traded,5,3,2
CETARTIODACTYLA,Oryx leucoryx,"Pet, Prod",Y,Traded,8,7,1
CARNIVORA,Otocolobus manul,"Pet, Prod",,Traded,1,0,1
CARNIVORA,Otocyon megalotis,Prod,,Traded,2,1,1
PRIMATES,Otolemur crassicaudatus,"Pet, Prod",,Traded,1,0,1
CETARTIODACTYLA,Ourebia ourebi,Prod,,Traded,1,1,0
CETARTIODACTYLA,Ovibos moschatus,Prod,,Traded,3,2,1
CETARTIODACTYLA,Ovis ammon,"Pet, Prod",Y,Traded,2,1,1
CETARTIODACTYLA,Ovis canadensis,"Pet, Prod",,Traded,6,5,1
CETARTIODACTYLA,Ovis dalli,Prod,,Traded,3,1,2
CETARTIODACTYLA,Ovis orientalis,"Pet, Prod",,Traded,4,3,1
CETARTIODACTYLA,Ozotoceros bezoarticus,"Pet, Prod",,Traded,1,1,0
CARNIVORA,Paguma larvata,"Pet, Prod",,Traded,2,0,2
PRIMATES,Pan paniscus,"Pet, Prod",,Traded,7,0,7
PRIMATES,Pan troglodytes,"Pet, Prod",Y,Traded,55,33,22
CARNIVORA,Panthera leo,"Pet, Prod",Y,Traded,13,5,8
CARNIVORA,Panthera onca,"Pet, Prod",Y,Traded,1,1,0
CARNIVORA,Panthera pardus,"Pet, Prod",Y,Traded,4,1,3
CARNIVORA,Panthera tigris,"Pet, Prod",Y,Traded,1,0,1
PRIMATES,Papio anubis,"Pet, Prod",Y,Traded,19,12,7
PRIMATES,Papio cynocephalus,"Pet, Prod",Y,Traded,18,11,7
PRIMATES,Papio hamadryas,"Pet, Prod",Y,Traded,9,5,4
PRIMATES,Papio papio,"Pet, Prod",Y,Traded,4,1,3
PRIMATES,Papio ursinus,"Pet, Prod",Y,Traded,12,5,7
CARNIVORA,Paradoxurus hermaphroditus,"Pet, Prod",Y,Traded,2,1,1
CETARTIODACTYLA,Pecari tajacu,"Pet, Prod",,Traded,1,0,1
RODENTIA,Pedetes capensis,Prod,,Traded,1,0,1
CETARTIODACTYLA,Phacochoerus aethiopicus,Prod,,Traded,3,0,3
CETARTIODACTYLA,Phacochoerus africanus,Prod,,Traded,1,1,0
CETARTIODACTYLA,Philantomba monticola,"Pet, Prod",Y,Traded,4,3,1
Primates,Piliocolobus tephrosceles,Prod,,Traded,6,0,6
PRIMATE,Piliocolobus tholloni,Prod,,Traded,13,13,0
PRIMATES,Pithecia pithecia,"Pet, Prod",Y,Traded,3,1,2
CHIROPTERA,Platyrrhinus lineatus,"Pet, Prod",Y,Traded,1,0,1
PRIMATES,Pongo abelii,"Pet, Prod",,Traded,5,0,5
PRIMATES,Pongo pygmaeus,"Pet, Prod",Y,Traded,28,12,16
CETARTIODACTYLA,Potamochoerus porcus,Prod,,Traded,3,2,1
CARNIVORA,Potos flavus,"Pet, Prod",Y,Traded,2,0,2
PRIMATES,Presbytis melalophos,"Pet, Prod",,Traded,2,1,1
CARNIVORA,Prionailurus bengalensis,"Pet, Prod",Y,Traded,3,2,1
CARNIVORA,Prionailurus viverrinus,"Pet, Prod",Y,Traded,1,0,1
CETARTIODACTYLA,Procapra gutturosa,Prod,,Traded,1,0,1
Primates,Procolobus badius,"Pet, Prod",,Traded,3,1,2
PRIMATES,Procolobus verus,Prod,,Traded,1,1,0
Carnivora,Procyon cancrivorus,"Pet, Prod",,Traded,1,0,1
CARNIVORA,Procyon lotor,Prod,,Traded,12,1,11
Carnivora,Procyon pygmaeus,"Pet, Prod",,Traded,3,0,3
CARNIVORA,Proteles cristata,"Pet, Prod",,Traded,1,0,1
Carnivora,Pseudalopex culpaeus,Prod,,Traded,1,0,1
Carnivora,Pseudalopex griseus,"Pet, Prod",,Traded,3,0,3
Carnivora,Pseudalopex gymnocercus,"Pet, Prod",,Traded,1,0,1
CETARTIODACTYLA,Pseudois nayaur,Prod,,Traded,1,1,0
CHIROPTERA,Pteropus admiralitatum,Prod,,Traded,2,0,2
CHIROPTERA,Pteropus alecto,Prod,,Traded,33,22,11
CHIROPTERA,Pteropus capistratus,Prod,,Traded,2,0,2
CHIROPTERA,Pteropus conspicillatus,Prod,,Traded,4,0,4
CHIROPTERA,Pteropus dasymallus,prod,,Traded,2,2,0
CHIROPTERA,Pteropus giganteus,"Pet, Prod",,Traded,217,216,1
CHIROPTERA,Pteropus hypomelanus,Prod,,Traded,5,1,4
CHIROPTERA,Pteropus lylei,"Pet, Prod",,Traded,72,68,4
CHIROPTERA,Pteropus neohibernicus,Prod,,Traded,2,0,2
CHIROPTERA,Pteropus poliocephalus,Prod,,Traded,6,1,5
CHIROPTERA,Pteropus rufus,"Pet, Prod",,Traded,3,0,3
CHIROPTERA,Pteropus scapulatus,"Pet, Prod",,Traded,11,1,10
CHIROPTERA,Pteropus vampyrus,"Pet, Prod",Y,Traded,3,1,2
CETARTIODACTYLA,Pudu puda,"Pet, Prod",,Traded,2,1,1
CARNIVORA,Puma concolor,"Pet, Prod",Y,Traded,10,7,3
PRIMATES,Pygathrix nemaeus,"Pet, Prod",,Traded,1,0,1
PRIMATES,Pygathrix nigripes,"Pet, Prod",,Traded,1,1,0
CETARTIODACTYLA,Raphicerus melanotis,Prod,,Traded,1,0,1
CETARTIODACTYLA,Raphicerus sharpei,Prod,,Traded,1,0,1
RODENTIA,Ratufa bicolor,"Pet, Prod",,Traded,1,1,0
CETARTIODACTYLA,Redunca arundinum,Prod,,Traded,6,4,2
CETARTIODACTYLA,Redunca fulvorufula,Prod,,Traded,2,1,1
CHIROPTERA,Rhinolophus alcyone,prod,,Traded,9,8,1
CHIROPTERA,Rhinolophus creaghi,Prod,,Traded,22,0,22
CHIROPTERA,Rhinolophus luctus,Prod,,Traded,1,0,1
RODENTIA,Rhizomys pruinosus,Prod,,Traded,7,7,0
RODENTIA,Rhizomys sinensis,NA,,Traded,2,2,0
CHIROPTERA,Rousettus aegyptiacus,Prod,,Traded,247,239,8
CHIROPTERA,Rousettus amplexicaudatus,Prod,,Traded,14,11,3
CHIROPTERA,Rousettus leschenaultii,Prod,,Traded,33,21,12
CHIROPTERA,Rousettus madagascariensis,Prod,,Traded,1,0,1
CETARTIODACTYLA,Rupicapra pyrenaica,"Pet, Prod",,Traded,4,4,0
CETARTIODACTYLA,Rupicapra rupicapra,Prod,,Traded,7,5,2
CETARTIODACTYLA,Rusa unicolor,Prod,,Traded,1,0,1
PRIMATES,Saguinus geoffroyi,"Pet, Prod",Y,Traded,2,1,1
PRIMATES,Saguinus imperator,"Pet, Prod",Y,Traded,1,1,0
PRIMATES,Saguinus labiatus,"Pet, Prod",Y,Traded,4,2,2
PRIMATES,Saguinus midas,"Pet, Prod",Y,Traded,6,3,3
PRIMATES,Saguinus mystax,"Pet, Prod",Y,Traded,2,2,0
PRIMATES,Saguinus oedipus,"Pet, Prod",Y,Traded,3,1,2
CETARTIODACTYLA,Saiga tatarica,"Pet, Prod",,Traded,1,0,1
PRIMATES,Saimiri boliviensis,"Pet, Prod",Y,Traded,1,1,0
Primates,Saimiri oerstedii,Prod,,Traded,1,0,1
PRIMATES,Saimiri sciureus,"Pet, Prod",Y,Traded,8,3,5
PRIMATES,Sapajus apella,"Pet, Prod",Y,Traded,8,3,5
CARNIVORA,Sapajus xanthosternos,"Pet, Prod",Y,Traded,1,1,0
RODENTIA,Sciurus carolinensis,Prod,,Traded,17,6,11
RODENTIA,Sciurus vulgaris,"Pet, Prod",,Traded,5,2,3
PRIMATES,Semnopithecus entellus,"Pet, Prod",,Traded,4,2,2
RODENTIA,Spermophilopsis leptodactylus,Prod,,Traded,2,0,2
RODENTIA,Spermophilus fulvus,Prod,,Traded,1,0,1
Carnivora,Spilogale gracilis,Prod,,Traded,2,0,2
RODENTIA,Sundamys muelleri,Prod,,Traded,7,7,0
CARNIVORA,Suricata suricatta,Pet,,Traded,1,0,1
CETARTIODACTYLA,Sus celebensis,Prod,,Traded,1,0,1
CETARTIODACTYLA,Sus scrofa,Prod,Y,Traded,72,32,40
CETARTIODACTYLA,Sylvicapra grimmia,Prod,,Traded,4,3,1
LAGOMORPHA,Sylvilagus aquaticus,Prod,,Traded,1,0,1
LAGOMORPHA,Sylvilagus audubonii,Prod,,Traded,5,1,4
LAGOMORPHA,Sylvilagus floridanus,Prod,,Traded,5,2,3
LAGOMORPHA,Sylvilagus nuttallii,Prod,,Traded,1,0,1
CETARTIODACTYLA,Syncerus caffer,Prod,,Traded,10,5,5
PILOSA,Tamandua tetradactyla,"Pet, Prod",,Traded,3,0,3
CHIROPTERA,Taphozous theobaldi,Prod,,Traded,1,1,0
PRIMATES,Tarsius bancanus,Prod,,Traded,2,2,0
RODENTIA,Tatera indica,Prod,,Traded,9,3,6
CARNIVORA,Taxidea taxus,Prod,,Traded,1,0,1
PRIMATES,Theropithecus gelada,"Pet, Prod",,Traded,1,0,1
RODENTIA,Thryonomys swinderianus,Prod,,Traded,3,2,1
PRIMATES,Trachypithecus cristatus,"Pet, Prod",,Traded,2,0,2
PRIMATES,Trachypithecus francoisi,"Pet, Prod",,Traded,2,0,2
PRIMATES,Trachypithecus germaini,Prod,,Traded,1,1,0
CETARTIODACTYLA,Tragelaphus angasii,Prod,,Traded,3,1,2
CETARTIODACTYLA,Tragelaphus eurycerus,"Pet, Prod",,Traded,1,1,0
CETARTIODACTYLA,Tragelaphus imberbis,Prod,,Traded,2,1,1
CETARTIODACTYLA,Tragelaphus oryx,Prod,,Traded,7,5,2
CETARTIODACTYLA,Tragelaphus scriptus,Prod,,Traded,2,1,1
CETARTIODACTYLA,Tragelaphus strepsiceros,Prod,,Traded,8,4,4
CETARTIODACTYLA,Tragulus javanicus,"Pet, Prod",,Traded,1,1,0
SCANDENTIA,Tupaia belangeri,Pet,Y,Traded,4,3,1
SCANDENTIA,Tupaia glis,"Pet, Prod",,Traded,12,12,0
SCANDENTIA,Tupaia tana,NA,,Traded,6,6,0
RODENTIA,Urocitellus parryii,pet,,Traded,1,1,0
RODENTIA,Urocitellus undulatus,pet,,Traded,1,0,1
CARNIVORA,Urocyon cinereoargenteus,"Pet, Prod",,Traded,6,0,6
CARNIVORA,Ursus americanus,"Pet, Prod",Y,Traded,5,3,2
CARNIVORA,Ursus arctos,"Pet, Prod",Y,Traded,2,0,2
CARNIVORA,Ursus maritimus,"Pet, Prod",Y,Traded,4,2,2
CARNIVORA,Ursus thibetanus,Prod,,Traded,1,1,0
PRIMATES,Varecia rubra,"Pet, Prod",Y,Traded,2,1,1
PRIMATES,Varecia variegata,"Pet, Prod",Y,Traded,2,1,1
Carnivora,Vulpes chama,Prod,,Traded,1,0,1
CARNIVORA,Vulpes corsac,Prod,,Traded,1,0,1
CARNIVORA,Vulpes macrotis,"Pet, Prod",,Traded,2,0,2
CARNIVORA,Vulpes velox,Prod,,Traded,10,2,8
CARNIVORA,Vulpes vulpes,Prod,,Traded,15,4,11
RODENTIA,Xerus erythropus,Prod,,Traded,2,1,1
